"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command"
"29","can5ad.29","0.125","75","63","300","0","0.01","0.501",,"10",,"[2026/03/26 06:46:24]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.29 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.29 -json output.json"
"30","can5ad.30","0.125","75","127","300","0","0.01","0.50128",,"11",,"[2026/03/26 07:17:08]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.30 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.30 -json output.json"
"31","can5ad.31","0.125","150","31","300","0","0.01","0.49768",,"10",,"[2026/03/26 07:49:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.31 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.31 -json output.json"
"32","can5ad.32","0.125","150","63","300","0","0.01","0.4956",,"11",,"[2026/03/26 08:25:18]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.32 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.32 -json output.json"
"33","can5ad.33","0.125","150","127","300","0","0.01","0.49724",,"12",,"[2026/03/26 09:03:28]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.33 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.33 -json output.json"
"34","can5ad.34","0.125","225","31","300","0","0.01","0.49552",,"10",,"[2026/03/26 09:41:12]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.34 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.34 -json output.json"
"35","can5ad.35","0.125","225","63","300","0","0.01","0.49916",,"12",,"[2026/03/26 10:21:50]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.35 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.35 -json output.json"
"36","can5ad.36","0.125","225","127","300","0","0.01","0.49744",,"12",,"[2026/03/26 11:06:07]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.36 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.36 -json output.json"
"37","can5ad.37","0.25","75","31","300","0","0.01","0.50252",,"10",,"[2026/03/26 11:32:26]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.37 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.37 -json output.json"
"38","can5ad.38","0.25","75","63","300","0","0.01","0.50168",,"12",,"[2026/03/26 12:00:06]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.38 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.38 -json output.json"
"39","can5ad.39","0.25","75","127","300","0","0.01","0.50136",,"12",,"[2026/03/26 12:29:20]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.39 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.39 -json output.json"
"40","can5ad.40","0.25","150","31","300","0","0.01","0.50132",,"10",,"[2026/03/26 12:59:53]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.40 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.40 -json output.json"
"41","can5ad.41","0.25","150","63","300","0","0.01","0.50472",,"12",,"[2026/03/26 13:31:51]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.41 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.41 -json output.json"
"42","can5ad.42","0.25","150","127","300","0","0.01","0.50072",,"12",,"[2026/03/26 14:06:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.42 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.42 -json output.json"
"43","can5ad.43","0.25","225","31","300","0","0.01","0.49756",,"12",,"[2026/03/26 14:40:11]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.43 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.43 -json output.json"
"44","can5ad.44","0.25","225","63","300","0","0.01","0.496",,"12",,"[2026/03/26 15:17:23]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.44 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.44 -json output.json"
